School_ID,Name_of_School,"Elementary,_Middle,_or_High_School",Safety_Score,Average_Student_Attendance,ISAT_Exceeding_Reading_Percent,Community_Area_Name,Community_Area_Number,Latitude,Longitude,Ward,Crime_Count
609836,Arthur E Canty Elementary School,ES,87.0,96.1%,34.2,DUNNING,17,41.94799245,-87.8293319,36,3676
610158,Harriet E Sayre Elementary Language Academy,ES,68.0,96.2%,17.3,AUSTIN,25,41.9141236,-87.79875667,36,3676
610041,Josephine C Locke Elementary School,ES,57.0,95.5%,15.6,MONTCLARE,18,41.93176301,-87.79564085,36,3676
609884,William E Dever Elementary School,ES,67.0,95.5%,27.9,DUNNING,17,41.94254335,-87.813168,36,3676
610287,Ashburn Community Elementary School,ES,48.0,95.5%,9.5,ASHBURN,70,41.74233179,-87.70964592,18,6218
609839,Carroll-Rosenwald Specialty Elementary School,ES,35.0,94.8%,9.1,ASHBURN,70,41.74248931,-87.696003,18,6218
609879,Charles Gates Dawes Elementary School,ES,44.0,95.7%,13.6,ASHBURN,70,41.74510467,-87.71738613,18,6218
609790,Clara Barton Elementary School,ES,25.0,91.7%,5.7,AUBURN GRESHAM,71,41.75421962,-87.67096453,18,6218
610352,Durkin Park Elementary School,ES,61.0,95.4%,16.3,ASHBURN,70,41.73886352,-87.72991927,18,6218
609927,Foster Park Elementary School,ES,11.0,93.7%,5.7,AUBURN GRESHAM,71,41.7384262,-87.66813597,18,6218
610067,Francis M McKay Elementary School,ES,23.0,93.5%,5.7,CHICAGO LAWN,66,41.76810662,-87.69174944,18,6218
609807,Lionel Hampton Fine & Performing Arts Elementary School,ES,42.0,95.0%,9.4,ASHBURN,70,41.75348432,-87.70875287,18,6218
609805,Scott Joplin Elementary School,ES,35.0,95.0%,12.2,AUBURN GRESHAM,71,41.74934082,-87.66932903,18,6218
610396,Tarkington School of Excellence Elementary School,ES,48.0,95.9%,9.7,CHICAGO LAWN,66,41.76443483,-87.70642093,18,6218
610109,William Bishop Owen Scholastic Academy Elementary School,ES,49.0,96.9%,29.0,ASHBURN,70,41.74287191,-87.70571301,18,6218
609922,Belmont-Cragin Elementary School,ES,75.0,95.3%,11.0,BELMONT CRAGIN,19,41.92559567,-87.76984337,30,5015
610541,Federico Garcia Lorca Elementary School,ES,53.0,96.8%,7.5,AVONDALE,21,41.94001885,-87.72474354,30,5015
610159,Jonathan Y Scammon Elementary School,ES,44.0,95.9%,11.9,IRVING PARK,16,41.94164944,-87.73222901,30,5015
610539,Marvin Camras Elementary School,ES,54.0,95.1%,12.0,BELMONT CRAGIN,19,41.93496641,-87.77016525,30,5015
610097,William P Nixon Elementary School,ES,52.0,95.6%,9.6,HERMOSA,20,41.91959342,-87.73138368,30,5015
610175,Beulah Shoesmith Elementary School,ES,45.0,94.7%,19.6,KENWOOD,39,41.80432122,-87.59392226,4,6021
